X,Y,esi_original_sim1
171.0,0.0,0.8589738517656298
172.0,0.0,0.8668357158374453
173.0,0.0,0.8744957011644094
174.0,0.0,0.8814753759189499
175.0,0.0,0.8872271258004244
176.0,0.0,0.8913564054978553
177.0,0.0,0.8939243566061078
178.0,0.0,0.8954944467336405
179.0,0.0,0.8967701320208696
180.0,0.0,0.8977229615852076
181.0,0.0,0.8957484026583403
182.0,0.0,0.8879509998194735
183.0,0.0,0.8775887062774164
184.0,0.0,0.8682476837912669
185.0,0.0,0.8609900316000378
186.0,0.0,0.8561161784698927
187.0,0.0,0.8539546383627855
188.0,0.0,0.8550744752463492
189.0,0.0,0.8603976696102301
190.0,0.0,0.8710273975776499
191.0,0.0,0.8857770306731136
192.0,0.0,0.8935753601330284
193.0,0.0,0.881885169150581
194.0,0.0,0.8611441526542079
195.0,0.0,0.8423732869103356
196.0,0.0,0.8269388463558929
197.0,0.0,0.8135800771825524
198.0,0.0,0.8013899566019245
199.0,0.0,0.7900926064279737
0.0,1.0,-0.7387061877487815
1.0,1.0,-0.7548437972254854
2.0,1.0,-0.7791385469455446
3.0,1.0,-0.7982939397271738
4.0,1.0,-0.8005099905507082
5.0,1.0,-0.7727193901808989
6.0,1.0,-0.7845984807571809
7.0,1.0,-0.8030292027007837
8.0,1.0,-0.8144096169177311
9.0,1.0,-0.8227028871676679
10.0,1.0,-0.8315774627252097
11.0,1.0,-0.8439570681552513
12.0,1.0,-0.862444372378553
13.0,1.0,-0.890070001545423
14.0,1.0,-0.9281048920748213
15.0,1.0,-0.9786631173604993
16.0,1.0,-1.0506457727699317
17.0,1.0,-1.1184493342786737
18.0,1.0,-1.0915172871000296
19.0,1.0,-1.0575270864454975
20.0,1.0,-1.0341613797544762
21.0,1.0,-0.9947702445615604
22.0,1.0,-0.7682046245500794
23.0,1.0,-1.0057880481310497
24.0,1.0,-1.0634099401234525
25.0,1.0,-1.0987461374683303
26.0,1.0,-1.1274969006419655
27.0,1.0,-1.1538370475009447
28.0,1.0,-1.1797058673570417
29.0,1.0,-1.2072010253565804
30.0,1.0,-1.242173023851468
31.0,1.0,-1.3303404268507404
32.0,1.0,-1.2652734590746575
33.0,1.0,-1.262352353721689
34.0,1.0,-1.2677660795294237
35.0,1.0,-1.2779848801812215
36.0,1.0,-1.30440637643624
37.0,1.0,-1.429333870986702
38.0,1.0,-1.2962148548749053
39.0,1.0,-1.2532273704549375
40.0,1.0,-1.2271692956115943
41.0,1.0,-1.2078442760489854
42.0,1.0,-1.1922864920087397
43.0,1.0,-1.1792604680669503
44.0,1.0,-0.1461280844728357
45.0,1.0,-0.15333171877816482
46.0,1.0,-0.16086074036150888
47.0,1.0,-0.16851272959788316
48.0,1.0,-0.17563229484385254
49.0,1.0,-0.18091328141553858
50.0,1.0,-0.18275746679486002
51.0,1.0,-0.18052396548216318
52.0,1.0,-0.17531990783340776
53.0,1.0,-0.1690469842111029
54.0,1.0,-0.16315072099997008
55.0,1.0,-0.15834974117179362
56.0,1.0,-0.15490419589341198
57.0,1.0,-0.15286314281209018
58.0,1.0,-0.15213656662992917
59.0,1.0,-0.15237001005408798
60.0,1.0,-0.15261750640888574
61.0,1.0,-0.15100795886595203
62.0,1.0,-0.14512598371589489
63.0,1.0,-0.1336225218882319
64.0,1.0,-0.11740490394448412
65.0,1.0,-0.09869909233079452
66.0,1.0,-0.0796254741372845
67.0,1.0,-0.061793884651187146
68.0,1.0,-0.04645869482479564
69.0,1.0,-0.03469711817624523
70.0,1.0,-0.027493787776600574
71.0,1.0,-0.025998635240007614
72.0,1.0,-0.033046345728784676
73.0,1.0,-0.03314068991935003
74.0,1.0,0.03683017008721253
75.0,1.0,0.2307729800431831
76.0,1.0,0.13723950075049138
77.0,1.0,0.177486063631194
78.0,1.0,0.2254084121767523
79.0,1.0,0.27719170205891375
80.0,1.0,0.33249518736213135
81.0,1.0,0.3911130877171728
82.0,1.0,0.45079024483903246
83.0,1.0,0.4499165784390719
84.0,1.0,0.5834709017721608
85.0,1.0,0.5662446434367453
86.0,1.0,0.54556016459412
87.0,1.0,0.5471740465694651
88.0,1.0,0.5619586724969101
89.0,1.0,0.5874465946765264
90.0,1.0,0.6269149176446961
91.0,1.0,0.6894767238533349
92.0,1.0,0.7587706063786409
93.0,1.0,0.7646961904567697
94.0,1.0,0.8063242591362016
95.0,1.0,0.8875071286881494
96.0,1.0,0.8915873564048872
97.0,1.0,0.7961958081513124
98.0,1.0,0.7113787389147582
99.0,1.0,0.8497301529773258
100.0,1.0,0.8668202158313623
101.0,1.0,0.8925848965521964
102.0,1.0,0.9158681065738103
103.0,1.0,0.8894977978306073
104.0,1.0,0.8657989384797684
105.0,1.0,0.8516849523981643
106.0,1.0,0.8102489669593477
107.0,1.0,0.8092527899010442
108.0,1.0,0.7623749526158152
109.0,1.0,0.7149056384862209
110.0,1.0,0.7149830522557079
