x,y,z,cond_ok
63.0,1.0,0.0,-0.4831364322700842
64.0,1.0,0.0,-0.48182999691554806
65.0,1.0,0.0,-0.4796391810647143
66.0,1.0,0.0,-0.4765668317944449
67.0,1.0,0.0,-0.60746626758993
68.0,1.0,0.0,-0.6025203508327214
69.0,1.0,0.0,-0.5966651965274242
70.0,1.0,0.0,-0.5899098976900117
71.0,1.0,0.0,-0.5822648901473998
72.0,1.0,0.0,-0.5737989396084451
73.0,1.0,0.0,-0.44999344773482475
74.0,1.0,0.0,-0.44081198651956544
75.0,1.0,0.0,-0.4311825541684616
76.0,1.0,0.0,-0.4211317920984037
77.0,1.0,0.0,-0.41068761180581814
78.0,1.0,0.0,-0.399879150917774
79.0,1.0,0.0,-0.1686852317620693
80.0,1.0,0.0,-0.1579139463978354
81.0,1.0,0.0,-0.22294666880165653
82.0,1.0,0.0,-0.21182169655010952
83.0,1.0,0.0,-0.20054267656018493
84.0,1.0,0.0,-0.1890777699811364
85.0,1.0,0.0,-0.150794806723907
86.0,1.0,0.0,-0.13864374402325538
87.0,1.0,0.0,-0.12632940294555603
88.0,1.0,0.0,-0.11388386393933289
89.0,1.0,0.0,-0.2271838737561911
90.0,1.0,0.0,-0.21448771274019265
91.0,1.0,0.0,-0.20168391219631732
92.0,1.0,0.0,-0.18880965761694282
93.0,1.0,0.0,-0.17590223247524645
94.0,1.0,0.0,-0.16299892027578078
95.0,1.0,0.0,-0.15013690464127433
96.0,1.0,0.0,-0.13735316739518805
97.0,1.0,0.0,-0.12468438467773593
98.0,1.0,0.0,-0.11216682123639793
99.0,1.0,0.0,-0.13031436736499968
100.0,1.0,0.0,-0.11833313581962149
101.0,1.0,0.0,-0.10659848388334084
102.0,1.0,0.0,-0.09514365844786785
103.0,1.0,0.0,-0.08400096341615049
104.0,1.0,0.0,-0.07320165378008692
105.0,1.0,0.0,-0.06277583278453808
106.0,1.0,0.0,-0.05275235346362629
107.0,1.0,0.0,-0.04315872590663193
108.0,1.0,0.0,-0.03402103164349106
109.0,1.0,0.0,-0.025363846529296033
110.0,1.0,0.0,-0.04142888381563675
111.0,1.0,0.0,-0.03372921246375685
112.0,1.0,0.0,-0.026569883448211234
113.0,1.0,0.0,-0.019968935395432902
114.0,1.0,0.0,-0.013942679466338648
115.0,1.0,0.0,-0.008505696159370357
116.0,1.0,0.0,-0.0036708463662590007
117.0,1.0,0.0,0.0005507035024063522
118.0,1.0,0.0,0.004149442796227282
119.0,1.0,0.0,0.007117465063843878
120.0,1.0,0.0,0.009448404667093624
121.0,1.0,0.0,0.011137362817714158
122.0,1.0,0.0,0.012180824480229197
123.0,1.0,0.0,0.012576567741182362
124.0,1.0,0.0,0.012323567358924453
125.0,1.0,0.0,0.011421894279064673
126.0,1.0,0.0,0.17163843865234377
127.0,1.0,0.0,0.16850442401059293
128.0,1.0,0.0,0.15007141407141328
129.0,1.0,0.0,0.14570436382910718
130.0,1.0,0.0,0.14093032698608776
131.0,1.0,0.0,0.2251721873330465
132.0,1.0,0.0,0.2193574171735166
133.0,1.0,0.0,0.21332484631074738
134.0,1.0,0.0,0.2070911713830551
135.0,1.0,0.0,0.20067324314130142
136.0,1.0,0.0,0.1940880065115992
137.0,1.0,0.0,0.18735244646168736
138.0,1.0,0.0,0.18048353970954953
139.0,1.0,0.0,0.3984069254821627
140.0,1.0,0.0,0.39227832912797167
141.0,1.0,0.0,0.38616403197719223
142.0,1.0,0.0,0.38007851848219654
143.0,1.0,0.0,0.37403583532628387
144.0,1.0,0.0,0.36804953329995616
145.0,1.0,0.0,0.36213261215138487
146.0,1.0,0.0,0.3562974692776172
147.0,1.0,0.0,0.3505558532091388
148.0,1.0,0.0,0.3449188228780812
149.0,1.0,0.0,0.33939671363958146
150.0,1.0,0.0,0.33399911093086365
151.0,1.0,0.0,0.3287348323033133
152.0,1.0,0.0,0.472803434273928
153.0,1.0,0.0,0.4684693879824705
154.0,1.0,0.0,0.4643568563570491
155.0,1.0,0.0,0.4604682775780716
156.0,1.0,0.0,0.4568049435350025
157.0,1.0,0.0,0.45336705664311194
158.0,1.0,0.0,0.45015379796103594
159.0,1.0,0.0,0.4471634044676283
160.0,1.0,0.0,0.44439325318735523
161.0,1.0,0.0,0.44183994980571173
162.0,1.0,0.0,0.43949941948108373
163.0,1.0,0.0,0.43736770680936204
164.0,1.0,0.0,0.4357660626368655
165.0,1.0,0.0,0.4349744590055571
166.0,1.0,0.0,0.43500913338733027
167.0,1.0,0.0,0.43588588053963634
168.0,1.0,0.0,0.4376201242137553
169.0,1.0,0.0,0.44022698237112523
170.0,1.0,0.0,0.4433208590009841
